N,run_label,target_id,strict_success_by_curobo,strict_success_by_our_eval,q0,q1,q2,q3,q4,q5,curobo_reported_pos_err_mm,curobo_reported_rot_err_deg,our_reeval_pos_err_mm,our_reeval_rot_err_deg,abs_diff_pos_err_mm,abs_diff_rot_err_deg,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,near_limit,reason_flag
1000,curobo_threshold_N1000_K1,209,1,1,1.8240618705749512,1.3804593086242676,-0.6741244196891785,-2.7696480751037598,-0.7223497033119202,-0.09243845194578171,8.429369557916289e-05,9.208609792810665e-06,6.591899627978536e-05,1.1000103948581645e-05,1.837469929937753e-05,1.7914941557709802e-06,-0.39654719449462683,0.6017665345362516,-0.8441035627125784,-0.18938426673412323,0.8534350395202637,0.25086453557014465,-0.4157514274120331,0,consistent_success
1000,curobo_threshold_N1000_K1,210,1,1,0.6125805377960205,-0.9953930377960205,-1.4767452478408813,2.387843370437622,1.8422911167144775,-1.2188103199005127,2.2351741790771484e-05,5.741727431814579e-06,7.786023356822413e-05,3.415094585006376e-06,5.550849177745265e-05,2.3266328468082035e-06,-0.09435780602394926,0.103843901298593,0.888086078420066,0.6887648105621338,0.011683741584420204,0.6777225732803345,0.25721314549446106,0,consistent_success
1000,curobo_threshold_N1000_K1,211,1,1,0.24032992124557495,-1.3885339498519897,2.3510282039642334,-1.1517536640167236,2.7141404151916504,-1.7968294620513916,0.00013328003944934608,6.884659807487369e-06,0.0001200326433937429,4.353408482428142e-06,1.324739605560318e-05,2.5312513250592272e-06,0.4639463632498556,0.1961027475231297,0.15307894136213024,0.6506519913673401,0.2819083631038666,0.6176830530166626,-0.34006962180137634,0,consistent_success
1000,curobo_threshold_N1000_K1,212,1,0,2.705110549926758,0.10893754661083221,2.921302556991577,-3.561854839324951,-0.2999837398529053,-0.6994653940200806,8.443607948720455,0.870368978222315,8.443596864887413,0.8703710578301309,1.1083833042491165e-05,2.0796078159524e-06,-0.1787298093938245,-0.20397640250024038,-0.11652201211661242,0.49725762009620667,0.6643009781837463,0.3747773766517639,-0.4134984612464905,0,reported_large_reeval_large
1000,curobo_threshold_N1000_K1,213,0,0,-2.956956624984741,1.1260790824890137,-3.0185484886169434,-0.1308661699295044,1.750076174736023,3.285923480987549,38.72200474143028,2.8272784731947347,38.72201831737249,2.8272769692526296,1.3575942205079627e-05,1.5039421050744295e-06,-0.09058945734177881,-0.14411100107799707,0.24555162659746627,0.5572423934936523,0.08403473347425461,0.19994857907295227,0.8015233278274536,0,reported_large_reeval_large
1000,curobo_threshold_N1000_K1,214,1,1,-2.657512903213501,-0.4593314230442047,2.7795379161834717,-0.32723280787467957,1.2214239835739136,-3.8331260681152344,6.420049203370581e-05,8.630380269944106e-06,6.694767884259579e-05,1.1581149199548762e-05,2.7471868088899777e-06,2.950768929604656e-06,0.07534296703491089,-0.18126422885929877,-0.05196205251023274,0.2673026919364929,0.22473639249801636,0.9370373487472534,-0.001952490070834756,0,consistent_success
1000,curobo_threshold_N1000_K1,215,1,1,0.26652655005455017,-2.0033605098724365,-1.718345284461975,1.9323482513427734,1.0280238389968872,0.4381682872772217,0.00013514129193481494,3.387383557066469e-06,0.00014379720431972483,6.9360898910140305e-06,8.655912384909883e-06,3.5487063339475614e-06,-0.6725393782778961,0.03568861046103568,0.47140022128658654,0.42840898036956787,-0.2519690692424774,0.13622362911701202,0.8569833636283875,0,consistent_success
1000,curobo_threshold_N1000_K1,216,1,1,0.6437473297119141,-2.0055899620056152,1.0520354509353638,2.74967360496521,2.9897243976593018,2.4177584648132324,1.8423555884510279,0.08991036240811984,1.8423927296629277,0.08991840060236056,3.71412118997938e-05,8.038194240722607e-06,-0.07654025049594645,0.03128152606641012,1.1613082243122228,0.5337821245193481,0.7574911713600159,-0.004167506471276283,0.3758541941642761,0,consistent_success
1000,curobo_threshold_N1000_K1,217,1,1,-0.07266457378864288,-0.10128128528594971,2.9221909046173096,-2.36179780960083,-1.2810226678848267,0.25026315450668335,0.21896745602134615,0.01585096474816206,0.21898370813246468,0.015845160930565982,1.6252111118525425e-05,5.803817596076316e-06,-0.050775257387174005,0.1942660673457071,-0.05579275429147026,0.5957918167114258,0.20541195571422577,-0.4954231083393097,-0.5978243947029114,0,consistent_success
1000,curobo_threshold_N1000_K1,218,1,1,-2.5661208629608154,0.14153118431568146,0.2631886303424835,-0.031826943159103394,-3.5908350944519043,-0.16551193594932556,6.664001972467304e-05,4.409098022052822e-06,9.201351552285089e-05,1.024528375501914e-05,2.5373495798177852e-05,5.836185732966318e-06,-0.9015288992166335,-0.68125508895212,-0.30671389054601694,-0.15836186707019806,-0.5192187428474426,0.5563443899154663,0.6291378140449524,0,consistent_success
1000,curobo_threshold_N1000_K1,219,1,1,-3.3817083835601807,0.6099600195884705,1.8165515661239624,0.5850871205329895,2.4004244804382324,-4.595125198364258,0.11656081915134564,0.0055369242835482425,0.11657394788367859,0.005538292700352141,1.3128732332945425e-05,1.3684168038985423e-06,-0.015796682321880057,-0.09477261828513142,-0.4918642892768694,0.6211904287338257,-0.13936346769332886,0.7241283655166626,0.26521384716033936,0,consistent_success
1000,curobo_threshold_N1000_K1,220,1,1,0.3218444585800171,1.2452967166900635,2.272822380065918,-0.7362079620361328,0.8644412755966187,-2.264631509780884,4.770699391087874e-05,1.3925901019053558e-05,0.00010137353425185053,1.4235251457258534e-05,5.366654034097179e-05,3.09350438204976e-07,-0.4909239704738182,0.07220480219588926,-0.15852533847375927,-0.47228705883026123,-0.20310816168785095,0.7698227167129517,0.37823933362960815,0,consistent_success
1000,curobo_threshold_N1000_K1,221,1,1,-0.6011512875556946,-0.2658195197582245,1.451058268547058,-1.2495157718658447,1.371629238128662,0.4653051495552063,6.664001972467304e-05,1.4886059283179241e-05,6.489576869939517e-05,3.415094585006376e-06,1.7442510252778642e-06,1.1470964698172865e-05,0.8480252794987452,-0.3606874145257255,-0.35187019746481407,0.5021921992301941,0.6410104036331177,0.24005039036273956,0.5284736752510071,0,consistent_success
1000,curobo_threshold_N1000_K1,222,1,1,-2.422250986099243,-1.4578509330749512,1.7606884241104126,-0.47804880142211914,-1.8270649909973145,-0.2559315860271454,8.429369557916289e-05,1.6340924177570002e-05,8.051155507929251e-05,1.5320420339170408e-05,3.7821404998703766e-06,1.020503838399594e-06,-0.3192889996780412,-0.4665361337536963,0.43524796031011015,0.25180572271347046,0.14447206258773804,0.7506260275840759,0.5935336947441101,0,consistent_success
