sample_id,kind,index,value
18,p,8,-0.39019753700654558
18,p,9,0.70527869558531053
18,p,10,-0.17213271430659638
18,p,11,-0.81767217765397771
18,p,12,0.6056609109544463
18,p,13,-0.12188463970833149
18,p,14,-0.78704673097305633
18,p,15,0.64296650113966958
18,p,16,-0.097031524741168815
18,p,17,-0.70647716092728063
18,z,0,0
18,z,1,0
18,z,2,1
18,z,3,0.45035984112380045
18,z,4,0.89284713893417689
18,z,5,-2.0510342851533115e-10
18,z,6,0.45035984112380045
18,z,7,0.89284713893417689
18,z,8,-2.0510342851533115e-10
18,z,9,0.45035984112380045
18,z,10,0.89284713893417689
18,z,11,-2.0510342851533115e-10
18,z,12,-0.8610007314681436
18,z,13,0.4342962368043638
18,z,14,0.26469703267866346
18,z,15,0.40461594560979725
18,z,16,0.26955656146597246
18,z,17,0.87385650808867388
19,T,0,0.43357345787455109
19,T,1,-0.88669881864228517
19,T,2,0.16055921538510567
19,T,3,0.41459244960699887
19,T,4,0.047747154657118589
19,T,5,-0.15532149740675494
19,T,6,-0.98670940081944725
19,T,7,0.032821042989929702
19,T,8,0.89985235780590933
19,T,9,0.43547725251923242
