target_id,target_x,target_y,target_z,target_radius_from_base,target_height_z,orientation_angle,cuda_success,curobo_success,cuda_pos_err,curobo_pos_err,is_curobo_only_fail,is_cuda_only_fail,is_both_fail,radius_bin,z_bin,orientation_angle_bin,curobo_failure_rate,cuda_failure_rate,mean_curobo_pos_err,mean_cuda_pos_err,bin_count
863,-0.0678495759517646,0.09020968879583274,0.775614798197526,0.11287760145163993,0.775614798197526,111.27403019898509,0,1,108.360062423,4.4807287880766825e-05,0,1,0,0,4,3,,,,,
864,-1.0300229148578222,-0.008518396403782574,-0.243702383900924,1.0300581382667175,-0.243702383900924,88.69934933616807,1,0,0.160312226169,238.3071244413578,1,0,0,2,0,2,,,,,
865,0.30059621000045755,0.0787859711236556,-0.2611945320474793,0.31074959487107406,-0.2611945320474793,104.43184172824128,1,1,0.0144791533589,0.00013908312337884406,0,0,0,0,0,3,,,,,
866,-0.23066073308505353,0.2300965960053031,0.9544525658562402,0.3258048760846927,0.9544525658562402,131.3726179317528,1,1,0.0568583580839,0.2688828323234733,0,0,0,0,4,4,,,,,
867,-0.6288511210554566,-0.9093783044679329,0.35198575809051685,1.1056322322950236,0.35198575809051685,113.97303869973875,1,1,0.039997997119,8.841859931152877e-05,0,0,0,3,2,3,,,,,
868,-0.40444267480420754,0.3521261333874671,1.0798642272053296,0.5362524508262785,1.0798642272053296,62.45476836508603,1,1,0.0987860977453,3.6231515590688415e-05,0,0,0,1,4,2,,,,,
869,0.8178886934001678,0.327032548361605,0.04050133717886846,0.8808474342811694,0.04050133717886846,156.96627228367888,1,1,0.135921112105,2.4170039296166145e-05,0,0,0,2,1,5,,,,,
870,-0.17944350702458922,-0.057793948163517385,-0.6685096444416874,0.18852085470210223,-0.6685096444416874,129.44878070198158,1,1,0.0820549621637,0.22940939315259395,0,0,0,0,-1,4,,,,,
871,0.15762923928844685,0.026299268281874125,0.15481786875096357,0.159808099265389,0.15481786875096357,130.04648478903238,1,1,2.55241928847,0.09213740462471987,0,0,0,0,2,4,,,,,
872,0.4674411932169873,0.43409887851296847,0.8333684911487754,0.6379209241295803,0.8333684911487754,175.2709110796564,1,1,0.0528750462435,1.583363581581603e-05,0,0,0,1,4,5,,,,,
873,-0.34559055230745084,0.32720978497749953,-0.840665609551257,0.47591918770857555,-0.840665609551257,159.15141294958292,1,1,0.509208185737,4.0004907872052125e-05,0,0,0,1,-2,5,,,,,
874,0.335706519308687,-0.5027265328983708,-1.0492422590703618,0.6045104085012685,-1.0492422590703618,139.28127493170055,0,0,25.0766300906,178.84143639240858,0,0,1,1,-2,4,,,,,
875,0.03792458334345551,-0.2323710876862513,0.18110720828386345,0.23544552748834752,0.18110720828386345,157.7659561177998,1,1,0.33905058619,4.546418437108088e-05,0,0,0,0,2,5,,,,,
876,0.15619995327974642,-0.07670731066732107,0.2565652741968094,0.17401849589744153,0.2565652741968094,69.92191067245341,1,0,0.154758537374,30.03121713477839,1,0,0,0,2,2,,,,,
877,0.02904960231897699,0.24648856717816126,0.0722679638723754,0.24819446638560183,0.0722679638723754,83.02684851626181,1,1,0.215340284594,6.599152096756534e-05,0,0,0,0,1,2,,,,,
878,0.6815986928232678,-0.12591110057041122,-0.8066819369576256,0.6931308558311624,-0.8066819369576256,149.65358968280637,1,0,0.382033693355,25.102521870255792,1,0,0,1,-2,4,,,,,
879,-0.4488459995233348,-0.867053550998534,0.016926763072346987,0.9763424561019913,0.016926763072346987,171.8748282182881,1,1,0.0372083096178,3.0692363661216114e-05,0,0,0,2,1,5,,,,,
880,0.1708930046184975,-0.19407484721732116,-0.16300623542693535,0.25859130950201004,-0.16300623542693535,104.5366134148093,1,1,0.198041232426,0.00023283716071813865,0,0,0,0,1,3,,,,,
881,0.25339665420600715,-0.4950609109573455,-0.5949531303468464,0.5561431199976455,-0.5949531303468464,174.70893421114545,1,1,0.291118923214,7.089110174088642e-05,0,0,0,1,-1,5,,,,,
882,0.015135024421789683,0.07661310101766977,0.8492479523066023,0.07809376551167092,0.8492479523066023,93.47943611949792,1,1,1.81827659976,0.0002165567864094584,0,0,0,0,4,3,,,,,
883,-0.7792810559970534,0.03854461060275863,-0.5614910914334185,0.7802337157816247,-0.5614910914334185,111.3182307690796,1,1,0.0154935470206,4.5624208953360686e-05,0,0,0,2,-1,3,,,,,
884,-0.4991390878181919,-0.5584363010212792,0.9686728887606003,0.7489932785321277,0.9686728887606003,168.41440432337663,1,0,0.182162826887,61.77340719434431,1,0,0,2,4,5,,,,,
885,-0.42359363853008714,-0.13356847374097416,0.26642803828713907,0.44415324808071754,0.26642803828713907,142.37901522534804,1,1,0.134379665641,7.170495695319571e-05,0,0,0,1,2,4,,,,,
886,0.006788715612614614,-0.07166418675841185,0.5632055272440435,0.07198501457535096,0.5632055272440435,166.2608060427658,1,1,4.50670996448,0.8938441036385949,0,0,0,0,3,5,,,,,
887,-0.4973151606048254,-0.20641994818554443,0.05227803424906041,0.5384529357114939,0.05227803424906041,158.9010617901369,1,0,0.0557167795759,133.80998151007225,1,0,0,1,1,5,,,,,
888,-0.5553555404660439,0.3492489675075396,-0.7924608481037962,0.6560446765513871,-0.7924608481037962,63.383344196964444,1,1,0.30595864678,5.8000212105986326e-05,0,0,0,1,-1,2,,,,,
889,-0.08932324869629829,-0.3297970862109766,0.07474305880470775,0.3416793245587316,0.07474305880470775,163.74461653036678,1,1,0.127203291065,8.544763425015839e-05,0,0,0,0,1,5,,,,,
