rank,N,target_id,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,curobo_pos_err_mm,curobo_rot_err_deg,curobo_success,cuda_pos_err_mm,cuda_rot_err_deg,cuda_success,curobo_q0,curobo_q1,curobo_q2,curobo_q3,curobo_q4,curobo_q5,cuda_q0,cuda_q1,cuda_q2,cuda_q3,cuda_q4,cuda_q5,distance_to_workspace_center,near_joint_limit_by_curobo,near_joint_limit_by_cuda,jacobian_condition_estimate_if_available,reason_guess
21,1000,78,-0.0043251220716624406,-0.450648782644332,-0.42237379779606077,0.6565388441085815,0.6926402449607849,0.18899011611938477,-0.2312767505645752,172.38498148279172,10.47066958939268,0,0.0542073738784,0.147365572539,1,-3.5785608291625977,0.7800400257110596,2.0057640075683594,0.2984279692173004,-5.770073413848877,2.69857120513916,-1.7507692545667244,-4.6931009290246699,-1.804829956095136,1.0152316941248611,-2.8212362434775549,3.592579563418794,0.6176590135701258,0,0,,orientation_hard
22,1000,537,-0.15965721743383043,0.17054935403476,-1.1599127250383008,0.5363080501556396,-0.30054765939712524,-0.732097864151001,0.29338976740837097,166.5114497838705,5.274375468959839,0,0.0253597424698,0.863781986652,1,1.6204824447631836,1.1338450908660889,0.46062836050987244,-0.12554071843624115,0.2759174704551697,0.949016809463501,-4.676891960311969,-4.7193200993530651,-0.36804913478125756,4.6762293857310295,4.5989679851453662,6.1930714492601071,1.183205408602481,0,0,,orientation_hard
23,1000,721,-0.3392245700652087,-0.9664359310358709,-0.5924750359676629,0.5605869293212891,-0.4607369303703308,-0.3822689652442932,0.5721312761306763,161.3151239367138,21.452121425616884,0,1.62615073749,0.0472382725098,1,-1.9638309478759766,0.5980305671691895,-0.08466732501983643,0.9151886701583862,-3.029691696166992,-1.4609990119934082,1.3724388143693997,2.8448100594875356,-0.74504991895314832,4.7776673993828691,4.4735961133608049,5.614676785018931,1.1832575315534568,0,0,,orientation_hard
24,1000,151,1.1919752591334212,-0.06727725813744206,0.2627623005062164,-0.1692996323108673,0.23691800236701965,0.9226670861244202,-0.25277042388916016,161.14203641219052,2.7238439386474615,0,0.0661234947368,0.0587619441757,1,-0.17368042469024658,-0.01195313036441803,-0.24517863988876343,2.287522554397583,2.0669870376586914,-1.1313096284866333,3.2544708686571129,-2.5985948555798637,-0.96963180160541595,-1.3720927625011103,5.1273366492473382,4.6467553879717567,1.2224464300802704,0,0,,workspace_boundary
25,1000,764,-0.07929065319756698,0.7922604584806608,1.1032882041502032,-0.3938569128513336,0.6736217737197876,0.5804243683815002,0.23284746706485748,159.61168454236633,10.192825502259685,0,0.591283984543,0.095340174441,1,1.392295479774475,-0.9764244556427002,-0.03170528635382652,1.4784663915634155,1.2649879455566406,1.69945228099823,-1.246679798548568,-2.0011680406817076,-0.64306954073742872,4.998431439058086,4.8558159154441425,-3.181060976159912,1.3605912329474508,0,0,,orientation_hard
26,1000,619,0.7977054658876415,0.9494396832715479,-0.28558655647134257,0.20070898532867432,0.5374022722244263,0.8080655336380005,0.13395839929580688,147.39078911480664,4.667939750200895,0,0.145897834392,0.467585394093,1,0.7495884895324707,0.2020093947649002,-0.028464457020163536,0.9426208734512329,1.8830467462539673,0.27644169330596924,0.70971066330299248,-5.7498627226642158,-0.29895092511618437,4.8911187804144056,1.1645571251519566,3.6158381981382006,1.2725287437676822,0,0,,workspace_boundary
27,1000,977,0.0101035313990646,-0.3102508648270019,1.378581733364521,0.7156479954719543,-0.24423231184482574,-0.6460206508636475,-0.10419141501188278,147.20940144135548,21.276702902180112,0,1.34005404942,0.224220494633,1,-1.8580212593078613,-1.382376790046692,0.28922244906425476,2.3894059658050537,-2.7702510356903076,2.8707010746002197,3.8229158914821908,-1.5617241370736354,0.40113440618431179,-2.0406945345530976,0.44076558239603403,-3.6140819524379983,1.413097758840117,0,0,,orientation_hard
28,1000,347,0.43534886230572833,0.35564720461358845,1.3448634759960234,0.3257896304130554,0.34533578157424927,0.42781391739845276,0.7691420912742615,144.1650527180051,7.914298510206507,0,2.93134486793,0.0122225253933,1,0.31544700264930725,-1.2567110061645508,-0.023510754108428955,0.7295747995376587,1.4143126010894775,0.3511407673358917,0.31490181387324256,5.0651309205209341,0.057259565919674377,-0.7315810806335904,-5.1535013020015983,4.0249671234927487,1.4576252382311643,0,0,,orientation_hard
29,1000,346,-0.2833335722329793,0.0073970981252543914,1.3872509766059107,0.7219933271408081,0.1139117181301117,-0.6732020378112793,-0.1120215505361557,143.72886526761752,14.281274717335977,0,0.0100241834115,0.59971011946,1,1.167765736579895,-1.617415428161621,0.11772294342517853,2.1763548851013184,-0.4624641239643097,0.7512369155883789,-3.5600996690228111,-1.5496782910917577,0.44513438087918716,4.7519715571569048,-4.0657140997751497,3.6666385266976977,1.4159088608766555,0,0,,orientation_hard
30,1000,46,-0.6033387119827593,0.13273792051558225,1.2664745401415634,0.6890081167221069,0.600232720375061,-0.3080063760280609,-0.2648029327392578,140.33044195928542,4.432571948217075,0,0.531656800165,0.000770494658083,1,2.456657648086548,-1.1038075685501099,-0.19250838458538055,0.771552562713623,0.24075117707252502,0.5771338939666748,0.19906623518105132,4.4637410425394251,-0.47021143611601179,-1.458487369401378,5.897349748564972,-4.8317047155013508,1.4091113219851015,0,0,,seed_failure
31,1000,233,-0.3099819428541005,0.09576912460389933,1.2445169973313508,-0.4632800221443176,-0.22191911935806274,0.8329479694366455,-0.2057211697101593,135.75925512322243,2.4804755833395533,0,0.0577869605121,0.00546295461784,1,0.11411142349243164,-1.960273265838623,0.3880389928817749,0.970790445804596,-2.0965981483459473,1.4158120155334473,0.17463014777937738,-1.3396478552978297,-1.0888054466491659,-1.3512842236480964,4.5405166536417774,1.2275503719263134,1.2861116152067213,0,0,,seed_failure
32,1000,313,-0.3408444364658157,0.9543393940943394,0.7564229383558827,0.0475148931145668,0.7909306287765503,0.4744257926940918,0.38352474570274353,134.4110461306724,2.5701794881108646,0,0.213664024383,0.00831118731465,1,1.8051059246063232,-0.5648014545440674,-0.021055281162261963,1.9285664558410645,2.3764445781707764,2.200714588165283,-4.5363055411833511,5.2275966932835143,1.0235285832334715,-1.4232086692215451,-4.7606070043848421,3.0167563913420445,1.2645609003369502,0,0,,seed_failure
33,1000,887,-0.4973151606048254,-0.20641994818554443,0.05227803424906041,-0.1830843985080719,-0.06383150070905685,0.9642654657363892,0.18054848909378052,133.80998151007225,32.10494916874362,0,0.0557167795759,0.00153180056952,1,1.0686826705932617,-2.4457199573516846,-2.042950391769409,-4.110116004943848,-0.8174096345901489,2.8515334129333496,0.64741050113394571,-4.2654779881471319,1.945313402194605,-5.2955278622676092,-4.3968940324201453,4.1619622600859776,0.5409848027821781,0,0,,orientation_hard
