sample_id,comparison,pos_diff_mm,rot_diff_deg,max_T_abs_diff,status
97,cuda_fk_vs_yourdfpy_urdf_fk,6.206335383118183e-14,1.2074182697257333e-06,1.1102230246251565e-16,ok
98,cuda_fk_vs_yourdfpy_urdf_fk,2.482534153247273e-13,1.2074182697257333e-06,2.220446049250313e-16,ok
99,cuda_fk_vs_yourdfpy_urdf_fk,4.4754520913118095e-13,0.0,4.440892098500626e-16,ok
0,cuda_fk_vs_curobo_kinematics_fk,7.614479481111269e-05,1.0526028440638429e-05,1.6465822832989474e-07,ok
1,cuda_fk_vs_curobo_kinematics_fk,5.106788398454796e-05,6.830189170012755e-06,1.043438504766403e-07,ok
2,cuda_fk_vs_curobo_kinematics_fk,0.0002496936973836908,1.1197136397927998e-05,2.2584345628351432e-07,ok
3,cuda_fk_vs_curobo_kinematics_fk,5.427472590092279e-05,1.1197136397927998e-05,1.809656017814909e-07,ok
4,cuda_fk_vs_curobo_kinematics_fk,0.00012865144369189285,1.5835142153691226e-05,2.393689145716027e-07,ok
5,cuda_fk_vs_curobo_kinematics_fk,5.168176275409657e-05,1.0731768324341125e-05,1.8270449028690017e-07,ok
6,cuda_fk_vs_curobo_kinematics_fk,5.5240365183375685e-05,5.6632936810203185e-06,9.389807203996625e-08,ok
7,cuda_fk_vs_curobo_kinematics_fk,5.857065234365573e-05,4.978313060379714e-06,6.666373258967795e-08,ok
8,cuda_fk_vs_curobo_kinematics_fk,4.31305568887482e-05,2.0419295754930057e-05,3.467317734838493e-07,ok
9,cuda_fk_vs_curobo_kinematics_fk,0.0002765671215680894,1.237235556379974e-05,2.0978370518509593e-07,ok
10,cuda_fk_vs_curobo_kinematics_fk,7.046462865927918e-05,9.115808030550376e-06,1.4993357863590795e-07,ok
11,cuda_fk_vs_curobo_kinematics_fk,0.00011991888638993129,1.3872179782028085e-05,1.908995730381946e-07,ok
12,cuda_fk_vs_curobo_kinematics_fk,9.781837875638203e-05,1.8311404696405027e-05,3.1031463991471053e-07,ok
13,cuda_fk_vs_curobo_kinematics_fk,0.00019744691691453566,2.6036596903232025e-05,3.540884703223668e-07,ok
14,cuda_fk_vs_curobo_kinematics_fk,7.389262888949598e-05,1.3553236463535334e-05,1.8553520236830323e-07,ok
15,cuda_fk_vs_curobo_kinematics_fk,7.337721317681126e-05,4.517745487845102e-06,6.34044392128219e-08,ok
16,cuda_fk_vs_curobo_kinematics_fk,2.1700284340416117e-05,1.9090959104164312e-05,2.813084658548348e-07,ok
17,cuda_fk_vs_curobo_kinematics_fk,0.00010418695322607335,1.3766686389570068e-05,2.208482949850321e-07,ok
18,cuda_fk_vs_curobo_kinematics_fk,0.00016800664575987377,1.3115919625095442e-05,2.2405309925248307e-07,ok
19,cuda_fk_vs_curobo_kinematics_fk,3.1914057673485975e-05,6.722620413208828e-06,9.976155990187863e-08,ok
20,cuda_fk_vs_curobo_kinematics_fk,8.30804982958486e-05,7.443026089337887e-06,1.1265107564828458e-07,ok
21,cuda_fk_vs_curobo_kinematics_fk,0.00010904981681759501,7.824964720612765e-06,1.073968370901568e-07,ok
22,cuda_fk_vs_curobo_kinematics_fk,0.00010219885092663566,2.091309789151873e-06,9.361555730613702e-08,ok
23,cuda_fk_vs_curobo_kinematics_fk,0.00010630614896600881,1.741363392971263e-05,2.699824008800533e-07,ok
24,cuda_fk_vs_curobo_kinematics_fk,4.5955757460151855e-05,1.3390916398898968e-05,1.6127183677383528e-07,ok
25,cuda_fk_vs_curobo_kinematics_fk,3.454561184268126e-05,1.619921597029155e-05,2.08853538685716e-07,ok
26,cuda_fk_vs_curobo_kinematics_fk,0.0001219192533563445,4.182619578303747e-06,9.900082367786389e-08,ok
27,cuda_fk_vs_curobo_kinematics_fk,3.83994653832437e-05,1.4388049231413678e-05,1.9075282503555613e-07,ok
28,cuda_fk_vs_curobo_kinematics_fk,0.00010813923727468777,1.2547858734911261e-05,1.6952604763031953e-07,ok
29,cuda_fk_vs_curobo_kinematics_fk,7.240156906655819e-05,1.024528375501914e-05,1.525854185224773e-07,ok
30,cuda_fk_vs_curobo_kinematics_fk,9.839338083347967e-05,1.1581149199548762e-05,1.7154934897622987e-07,ok
31,cuda_fk_vs_curobo_kinematics_fk,9.821404963573274e-05,7.244509618354405e-06,1.2426722906591636e-07,ok
32,cuda_fk_vs_curobo_kinematics_fk,7.142936666320522e-05,1.010198601586461e-05,1.3135652612850102e-07,ok
33,cuda_fk_vs_curobo_kinematics_fk,5.549461808134788e-05,1.6773990684003203e-05,2.666831719899676e-07,ok
