trajectory_type,trajectory_id,step,method,delta_q_norm,is_jump
random_local_50,8,44,no-rerank,1.7469235589615626,1
random_local_50,8,45,no-rerank,5.171114669838624,1
random_local_50,8,46,no-rerank,5.132810295623456,1
random_local_50,8,47,no-rerank,4.8950009274964,1
random_local_50,8,48,no-rerank,0.28014802215905404,0
random_local_50,8,49,no-rerank,5.111694967150448,1
random_local_50,9,1,no-rerank,2.9276620511521427,1
random_local_50,9,2,no-rerank,0.056081688141138245,0
random_local_50,9,3,no-rerank,4.558298427974021,1
random_local_50,9,4,no-rerank,4.335140531233413,1
random_local_50,9,5,no-rerank,4.656375982888237,1
random_local_50,9,6,no-rerank,0.6312508097143096,1
random_local_50,9,7,no-rerank,3.8236541668710133,1
random_local_50,9,8,no-rerank,5.232405142889852,1
random_local_50,9,9,no-rerank,5.7505663280760135,1
random_local_50,9,10,no-rerank,4.173756065323494,1
random_local_50,9,11,no-rerank,3.0784836316694557,1
random_local_50,9,12,no-rerank,2.9413846955297096,1
random_local_50,9,13,no-rerank,4.680239269773126,1
random_local_50,9,14,no-rerank,4.326623273748135,1
random_local_50,9,15,no-rerank,4.681912758391982,1
random_local_50,9,16,no-rerank,4.3849759706969245,1
random_local_50,9,17,no-rerank,0.22040351377106598,0
random_local_50,9,18,no-rerank,4.8262435239163946,1
random_local_50,9,19,no-rerank,2.8648465013163635,1
random_local_50,9,20,no-rerank,0.28686328974495484,0
random_local_50,9,21,no-rerank,0.2768937279889596,0
random_local_50,9,22,no-rerank,4.6859662131889035,1
random_local_50,9,23,no-rerank,4.687286934161095,1
random_local_50,9,24,no-rerank,4.101605534628491,1
random_local_50,9,25,no-rerank,4.40294144991952,1
random_local_50,9,26,no-rerank,0.17070783438128748,0
random_local_50,9,27,no-rerank,2.4331346055571332,1
random_local_50,9,28,no-rerank,2.6553597523547188,1
random_local_50,9,29,no-rerank,4.097923022747041,1
random_local_50,9,30,no-rerank,5.4273118518764125,1
random_local_50,9,31,no-rerank,1.213049803785237,1
random_local_50,9,32,no-rerank,4.163242036965878,1
random_local_50,9,33,no-rerank,2.7280963883584874,1
random_local_50,9,34,no-rerank,5.272423415217794,1
random_local_50,9,35,no-rerank,4.455495556772907,1
random_local_50,9,36,no-rerank,4.4384485336463175,1
random_local_50,9,37,no-rerank,0.8364742706211802,1
random_local_50,9,38,no-rerank,0.11562009383494962,0
random_local_50,9,39,no-rerank,4.44675522901738,1
random_local_50,9,40,no-rerank,4.631284279715204,1
random_local_50,9,41,no-rerank,0.4541370628112615,0
random_local_50,9,42,no-rerank,4.342973332227863,1
random_local_50,9,43,no-rerank,4.402334657585615,1
random_local_50,9,44,no-rerank,0.9889290616924837,1
random_local_50,9,45,no-rerank,2.113112322610071,1
random_local_50,9,46,no-rerank,5.184548756672406,1
random_local_50,9,47,no-rerank,4.348661691090248,1
random_local_50,9,48,no-rerank,0.9662026708957617,1
random_local_50,9,49,no-rerank,1.9743085863985048,1
random_local_50,10,1,no-rerank,2.139244183949166,1
random_local_50,10,2,no-rerank,4.584954631408965,1
random_local_50,10,3,no-rerank,4.706145602566522,1
random_local_50,10,4,no-rerank,2.141194660574867,1
random_local_50,10,5,no-rerank,2.0937059385966235,1
random_local_50,10,6,no-rerank,4.765868137187565,1
random_local_50,10,7,no-rerank,0.5386084637022273,1
random_local_50,10,8,no-rerank,0.5454892230656687,1
random_local_50,10,9,no-rerank,4.683114627084365,1
random_local_50,10,10,no-rerank,0.11924871263921319,0
random_local_50,10,11,no-rerank,2.0157214997511295,1
random_local_50,10,12,no-rerank,3.1545959367175436,1
random_local_50,10,13,no-rerank,2.496955374637173,1
random_local_50,10,14,no-rerank,4.941022766939886,1
random_local_50,10,15,no-rerank,0.31760180183246656,0
random_local_50,10,16,no-rerank,4.944563541918418,1
random_local_50,10,17,no-rerank,2.1004935132821454,1
random_local_50,10,18,no-rerank,2.112195987485828,1
random_local_50,10,19,no-rerank,5.013904533961797,1
random_local_50,10,20,no-rerank,2.1247961531362627,1
random_local_50,10,21,no-rerank,4.84142630337073,1
random_local_50,10,22,no-rerank,2.384440262392505,1
random_local_50,10,23,no-rerank,0.13396345338080726,0
random_local_50,10,24,no-rerank,1.9814807146880502,1
random_local_50,10,25,no-rerank,2.0390055196935615,1
random_local_50,10,26,no-rerank,5.3210792373687745,1
random_local_50,10,27,no-rerank,5.588496210236999,1
random_local_50,10,28,no-rerank,4.968015964289301,1
random_local_50,10,29,no-rerank,0.4943125628816775,0
random_local_50,10,30,no-rerank,4.863483585138166,1
random_local_50,10,31,no-rerank,4.689574896985847,1
random_local_50,10,32,no-rerank,2.3496911848282833,1
random_local_50,10,33,no-rerank,4.927033424364684,1
random_local_50,10,34,no-rerank,2.2796450480545687,1
random_local_50,10,35,no-rerank,5.064846882404053,1
