target_id,sorted_target_rank,seed_id,rank,pos_err_mm,rot_err_deg,pose_cost,total_loss,success_loose,success_medium,success_strict
148,75,10,3,0.039267219837,0.00473193984812,8.362680794208706e-09,4.181340397104353e-09,1,1,1
148,75,11,0,813.396283364,37.8465392502,1.0979354836245363,0.5493360888165455,0,0,0
148,75,12,3,0.0402742243007,0.0310724191625,2.957286797173904e-07,1.4786433985869518e-07,1,1,1
148,75,13,3,0.106743255204,0.338257058249,3.486506054578836e-05,1.743253027289418e-05,1,1,1
148,75,14,3,0.017669969248,0.944097848703,0.0002715121386633,0.0001357560693316,1,1,1
148,75,15,3,0.182950024474,0.352469320616,3.787750070582069e-05,1.8938750352910347e-05,1,1,1
330,76,0,3,4.82435270194,0.251709710989,4.257426203511688e-05,0.0001110941785288,1,1,1
330,76,1,3,0.57340263837,0.0184617490398,4.326152226828645e-07,2.1630761134143226e-07,1,1,1
330,76,2,0,228.71402256,26.5864703509,0.26762600470633,0.134267142353165,0,0,0
330,76,3,0,190.899205371,1.12941764339,0.0368310717828394,0.0186426058914197,0,0,0
330,76,4,3,0.0425945695333,0.00905217365985,2.6775211654346522e-08,1.3387605827173261e-08,1,1,1
330,76,5,0,569.618361326,57.0936214414,1.3174208787101296,0.6591645793550647,0,0,0
330,76,6,3,0.014763348529,0.679612562485,0.0001406948510974,7.034742554870833e-05,1,1,1
330,76,7,3,0.0496474914132,0.150504817174,6.902567278905342e-06,3.451283639452671e-06,1,1,1
330,76,8,3,0.0163662462574,0.449345656206,6.150603372133018e-05,3.075301686066509e-05,1,1,1
330,76,9,0,0.28769468258,43.7508640404,0.5830798932092492,0.2917670166046246,0,0,0
330,76,10,3,2.42184046671,0.0670783447387,7.235938646416096e-06,2.1721035650974923e-05,1,1,1
330,76,11,0,840.435610332,8.83888223158,0.7301305066410356,0.3654783174751872,0,0,0
330,76,12,0,7.92394803118,31.7236958137,0.3066275901565535,0.1535408650782767,0,0,0
330,76,13,3,0.851320932834,0.0241902805449,9.030002065603149e-07,4.5150010328015757e-07,1,1,1
330,76,14,3,0.416948483636,0.884486216204,0.0002384808867963,0.0001309394155032,1,1,1
330,76,15,3,0.0502500621688,0.741388998227,0.0001674378191701,8.37189095850916e-05,1,1,1
322,77,0,0,550.617046108,54.6391238237,1.2125942884728322,0.6069783542364161,0,0,0
322,77,1,3,2.50411302631,0.0328945161821,6.600193082371612e-06,3.300096541185806e-06,1,1,1
322,77,2,3,2.72571483627,0.508975819113,8.634260877665358e-05,4.317130438832679e-05,1,1,1
322,77,3,3,0.354864640133,0.189945922772,1.1116358969027194e-05,5.558179484513597e-06,1,1,1
322,77,4,3,0.0102696073845,0.531191632215,8.595234268244285e-05,4.2976171341221433e-05,1,1,1
322,77,5,0,528.475271362,1.94251388708,0.2804355436895686,0.1404013369970772,0,0,0
322,77,6,3,0.24095104082,0.093813102771,2.7389643212541933e-06,1.3694821606270969e-06,1,1,1
322,77,7,0,480.895414263,15.5967557159,0.3053612640630578,0.1529077020315289,0,0,0
322,77,8,0,33.2655421193,35.8659829825,0.3929569213334498,0.1967055306667249,0,0,0
322,77,9,0,200.827997019,28.0563522031,0.2801141971460716,0.1402841685730358,0,0,0
322,77,10,3,0.317909698624,0.00535977154133,1.0981736708717376e-07,5.490868354358688e-08,1,1,1
322,77,11,0,501.914629721,56.9906310698,1.2412949700691065,0.6211016250345532,0,0,0
322,77,12,3,1.10366615959,0.72761603331,0.000162490184466,8.124509223300739e-05,1,1,1
322,77,13,3,1.49088779627,0.787150603501,0.0001909655495382,9.548277476912697e-05,1,1,1
322,77,14,3,4.24822969792,0.0570668460501,1.903948024608217e-05,9.519740123041088e-06,1,1,1
322,77,15,3,3.16288072362,0.122168205208,1.4550250896187496e-05,7.275125448093749e-06,1,1,1
346,78,0,0,301.870403749,25.1585246158,0.2839337510493806,0.1421939455246903,0,0,0
346,78,1,3,0.0561288411828,0.195191066563,1.1608937814036295e-05,5.804468907018148e-06,1,1,1
346,78,2,3,2.92978637088,0.702403097574,0.0001588727785383,7.943638926919979e-05,1,1,1
346,78,3,3,0.840052518668,0.174907187528,1.0024704035568704e-05,5.012352017784352e-06,1,1,1
346,78,4,3,0.0201993236864,0.572658849788,9.989608362562728e-05,4.9948041812813645e-05,1,1,1
346,78,5,3,0.0862810826615,0.0305552691322,2.9184270285665535e-07,1.459213514283277e-07,1,1,1
346,78,6,0,758.38282514,44.2287564412,1.1710318959804689,0.5857430179902344,0,0,0
346,78,7,3,3.52903310459,0.0998685314692,1.5492244595239492e-05,7.746122297619746e-06,1,1,1
346,78,8,3,0.123454831026,0.477161343709,6.937143322326916e-05,3.468571661163458e-05,1,1,1
346,78,9,3,0.0152958084447,0.530750864272,8.580988883958753e-05,4.290494441979377e-05,1,1,1
346,78,10,3,0.0131248151332,0.868730569586,0.0002298927465001,0.00011494637325,1,1,1
346,78,11,0,559.212279556,50.3214593044,1.0840856114309907,0.5429510857154953,0,0,0
346,78,12,2,8.67389470505,0.0686560349312,7.667230960006093e-05,0.0002299079725924,1,1,0
346,78,13,3,4.6456146994,0.122218949621,2.6131950006288403e-05,0.0001138770166894,1,1,1
346,78,14,0,926.351478465,48.8712990251,1.5856764854555092,0.7934570405031167,0,0,0
346,78,15,0,60.5869481381,28.8232833907,0.2567413456117926,0.1285977428058963,0,0,0
139,79,0,3,0.0206271707678,0.376504905599,4.318175536267791e-05,2.1590877681338955e-05,1,1,1
139,79,1,3,1.85351482352,0.725629195465,0.0001638280817243,8.191404086217268e-05,1,1,1
139,79,2,0,63.5854743144,0.0939587115103,0.0040458017793154,0.0022499708896577,0,0,0
139,79,3,3,0.0297864436862,0.927143146624,0.0002618483197893,0.0001309241598946,1,1,1
139,79,4,0,76.7734188545,0.130808636275,0.0058993701206109,0.0031767550603054,0,0,0
139,79,5,0,54.5371869896,0.0118717909164,0.0029743476973437,0.0017142438486718,0,0,0
139,79,6,0,745.801225109,45.9843106194,1.2003503108311049,0.6004022254155524,0,0,0
139,79,7,3,0.366187177143,0.0560495775623,1.0910654710657929e-06,5.455327355328963e-07,1,1,1
139,79,8,0,47.915820649,2.83931856953,0.0047516692415835,0.0026029046207917,0,0,0
139,79,9,3,0.0284180817378,0.772552791532,0.0001818080030381,9.090400151908432e-05,1,1,1
139,79,10,3,3.46914037274,0.357177170191,5.089666397813597e-05,2.5448331989067985e-05,1,1,1
139,79,11,3,4.76850244319,0.43146496619,7.944680884652716e-05,9.069880402994872e-05,1,1,1
139,79,12,3,4.77917015914,0.10438095137,2.615939086978952e-05,1.3406636907119249e-05,1,1,1
