target_id,best_seed_id,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,q0,q1,q2,q3,q4,q5
53,12,0.020212958564287897,0.2725681732548027,2.2631475142200555e-05,0.0,1.1315737571100278e-05,11,1,1,1,0,-3.1000860464483067,0.2607409339222862,1.752701517418118,1.9825360563054275,1.703679734150849,-4.251218674042082
54,10,0.02758546586190547,0.0014900883743690378,1.4373192855752642e-09,0.0,7.186596427876321e-10,12,1,1,1,0,3.6352052429790116,4.985364888429945,1.4475165272191834,-4.016660347740666,5.046995930997451,-2.7176764933689497
55,4,0.06678634219573755,0.5681095015129399,9.83192470029389e-05,0.0,4.915962350146945e-05,31,1,1,1,0,-0.43221454053931874,-2.6565972234585495,2.6631718353590257,4.50377141923722,-4.183046066263154,-0.30753376268814514
56,9,0.9162337815051051,0.22618924358370882,1.6424190979967156e-05,0.0,8.212095489983578e-06,10,1,1,1,0,2.8165560796616202,5.486273233512063,0.5446084829954708,5.326892419425296,2.5490278853663524,-4.432691388811502
57,6,0.05170758304656008,0.004459067321794388,8.730468015475345e-09,0.0,4.365234007737672e-09,10,1,1,1,0,1.5302174878843564,2.348837527561053,-1.0427903759021695,4.39373951960847,0.6369248926243574,-3.7069911628263497
58,0,1.0108498873501026,2.409484140482933e-05,1.0218176716048253e-06,0.0,5.109088358024127e-07,20,1,1,1,0,-5.965242251605663,0.8087407669562127,-0.20124246865249173,0.4162931670576581,5.21209996517718,-4.640064956108158
59,13,0.24024501892996836,0.026601830219515076,2.7328243157622693e-07,0.0,1.3664121578811347e-07,16,1,1,1,0,2.395126984904835,1.590014487545184,2.748499937004843,1.7335721831859527,-3.0171029000264618,3.7090127135589452
60,9,0.14337088324940594,0.06506891804899728,1.310294428577246e-06,0.0,6.55147214288623e-07,24,1,1,1,0,-2.317921735366882,-5.340279754780383,2.295563423567742,4.64263243148454,4.370291772928255,3.7995419815498455
61,4,0.022184464740191867,0.0003341581891133964,5.261645733358131e-10,0.0,2.6308228666790655e-10,24,1,1,1,0,1.9173337408715836,1.056446351600702,-0.9782003497319662,4.623868116371604,-4.750281916009545,-3.4246046184458514
62,5,0.04766634634207816,0.005012375550361003,9.925260803916224e-09,0.0,4.962630401958112e-09,18,1,1,1,0,-0.9148146235397572,-3.785661165352689,2.1287956384186892,-2.9832562451105917,4.390882192520243,-3.482845938168655
63,15,0.03943600162233391,0.020213782779212992,1.260209664358849e-07,0.0,6.301048321794245e-08,13,1,1,1,0,-0.13331899354046228,5.821309230573741,1.714735222298698,0.17552503687111956,4.305218212424644,-4.532648344322503
64,2,0.4444870596254051,0.8037775415282067,0.00019699819217095147,0.0,9.849909608547574e-05,25,1,1,1,0,3.0952478267141084,2.536187954205391,-0.7839208507611275,-0.9907901489698608,3.8260750834171398,-2.542402576206207
65,15,28.471586836939437,4.068477015978179,0.005852812691042685,0.0,0.0029264063455213423,60,1,0,0,0,-1.8923868738182459,-1.851807912154421,0.6673735239810624,3.4814362295715937,4.303003536490986,-2.1216658243315067
66,9,0.015148932490295097,0.5543841945163638,9.362190629983336e-05,0.0,4.681095314991668e-05,21,1,1,1,0,2.3155694706147805,1.3201406466826207,1.6627931336038781,5.7532712090669795,4.8506621080999635,-1.2402574067833696
67,6,1.3032539333711208,0.07732746738693184,3.5199420120306523e-06,0.0,1.7599710060153262e-06,20,1,1,1,0,5.439164274543798,-4.534972628320503,1.881824976050072,-3.134418963622876,5.648468521597566,-2.9760971661877593
68,3,0.0678706180923266,0.5013853616671464,7.658155129395607e-05,0.0,3.829077564697804e-05,23,1,1,1,0,-4.229079923176077,2.520226318677786,-2.0418853847338108,5.495485262918954,2.6871952675149284,3.160840222451494
69,4,0.049954383901672346,0.13206317319573133,5.315230903671052e-06,0.0,2.657615451835526e-06,19,1,1,1,0,1.9014235380703632,-4.842913326806748,-1.38177106579683,5.212191036327414,-5.309630998990967,-3.640427294599005
70,3,1.8878657131930652,0.03883894831272586,4.023541333948816e-06,0.0,2.011770666974408e-06,39,1,1,1,0,-4.143712475035996,-3.426324375617165,2.5841666632574896,0.1291226135492495,-4.5309587387092485,-3.9122297816572615
71,15,0.04781018999357644,0.040207965609336954,4.947548563219992e-07,0.0,2.473774281609996e-07,14,1,1,1,0,-3.2690424709434156,-5.436345372035805,2.164137884225595,5.015393087457137,-1.7172559058812409,-1.6522054365497916
72,14,0.23600113955170243,0.03213611131111761,3.7028397925102116e-07,0.0,1.8514198962551058e-07,16,1,1,1,0,2.1734737329188145,-2.9076421625440023,-0.33961748655671853,-4.138952832367119,-4.1852708203603415,3.2025757002490414
73,12,3.6389158447196754,0.2953397772237481,3.981214086564149e-05,0.0,1.9906070432820745e-05,23,1,1,1,0,-0.752522557715462,-4.697787617980517,-2.889221693940409,2.287245472967135,4.762478138406333,1.7504793970741632
74,6,0.27690561365749516,0.00014576181257706908,7.668319093087293e-08,0.0,3.8341595465436465e-08,19,1,1,1,0,-1.0133780310651952,-1.675039684698765,0.9532028907802649,-4.146434658996315,4.235214844979051,2.7653210802021397
75,9,0.15724908309645208,0.19965605336439443,1.2167551246953941e-05,0.0,6.0837756234769705e-06,17,1,1,1,0,1.2446142259294113,5.152816882718953,-2.298065515961536,3.290926007701429,5.775765370278239,2.6687028889468016
76,8,0.4849421026847662,0.03220813441712291,5.511679644481356e-07,0.0,2.755839822240678e-07,21,1,1,1,0,1.8758580050662332,4.182395116762818,0.8932552664742033,1.3545268288301633,-1.83404027050126,5.361574559721948
77,6,0.6870245544780441,0.005136262785664365,4.800389101304279e-07,0.0,2.4001945506521395e-07,29,1,1,1,0,0.1302025073815987,-4.05826959190951,-2.5799988798814057,-4.749836612651839,-1.9552613684483156,-4.026602561185707
78,10,0.05420737194662005,0.14736557212004342,6.618196706292902e-06,0.0,3.309098353146451e-06,51,1,1,1,0,-1.7507692545771103,-4.693100928942272,-1.8048299564487817,1.0152316928266722,-2.8212362433292064,3.592579561600668
79,15,0.3278403871082934,0.01059224452383763,1.416560670219779e-07,0.0,7.082803351098895e-08,13,1,1,1,0,-5.033861031204074,-2.3431474085174346,-1.333054508581322,1.9994528050202398,-4.77994533635151,-2.7627055898079087
80,14,0.20642856936605009,0.011712660774891009,8.440212828020057e-08,0.0,4.2201064140100284e-08,17,1,1,1,0,-3.8054862500390274,-5.55641508374107,2.5590447903424356,3.3962113181310176,1.0164213921349672,0.9236206487577794
81,2,0.05517688606690663,0.004332310776211202,8.761827721711814e-09,0.0,4.380913860855907e-09,37,1,1,1,0,2.8612625047432174,-1.3507168460347072,1.9345206782598392,6.092496889743527,-1.4320349315616157,-0.8266989497217039
82,8,0.062442387622848095,0.01088644269989372,4.00006739885475e-08,0.0,2.000033699427375e-08,24,1,1,1,0,2.343086771282268,1.5689418512557627,2.212530480359238,-2.1485598908290866,5.156209612401944,-0.34717709112860196
83,4,0.03728817539211559,0.1547638172461689,7.297537842526226e-06,0.0,3.648768921263113e-06,15,1,1,1,0,0.49577532489932574,6.176057665926706,0.7522351079391022,-1.7530366185012909,-4.98037425359445,-2.0956486971545902
84,11,0.40738353138562894,0.23787166645895247,1.7402107392036968e-05,0.0,8.701053696018484e-06,54,1,1,1,0,4.822888843083815,-2.693103743590146,2.168917884339446,0.3657756631737729,1.6198795787019686,5.216925703238754
85,14,3.579589933422671,0.024428060485974654,1.2995238486744487e-05,0.0,6.497619243372244e-06,57,1,1,1,0,2.711459885224875,-1.983787341299344,1.112838276330879,-2.3842938904728257,5.621160738118774,0.8168638751111823
86,0,0.05088849592528308,0.02086194812078421,1.3516550033592903e-07,0.0,6.758275016796451e-08,29,1,1,1,0,-0.2130389171443909,5.421930151549232,-0.8707980633448124,0.7679233344675263,1.7474513966144343,5.189389743023781
87,13,0.09409799632402643,0.17361164895483894,9.190329500032865e-06,0.0,4.595164750016432e-06,16,1,1,1,0,-3.324877402014082,-1.9411944894490256,1.2522091192996643,-1.262985892463262,1.9434014368773336,-4.6575812232758445
88,13,3.5888236694451527,0.0637558177562,1.4117865527491889e-05,0.0,7.0589327637459445e-06,14,1,1,1,0,-4.059260732993235,1.8914520575365468,-0.8042736409046376,5.692428251090019,5.001686981037085,-0.31862476124753125
89,10,1.3067967718766598,0.13259642526094373,7.063444007159534e-06,0.0,3.531722003579767e-06,15,1,1,1,0,-3.7171185336495625,-4.41534462749069,2.1970148747015505,-5.302456004263398,-4.512080391922055,-3.854713649927281
90,13,0.004400317244409614,0.17704924791273127,9.548689873421161e-06,0.0,4.774344936710581e-06,19,1,1,1,0,-5.369402207097388,-0.04987993645822117,-2.0313922254027665,4.038898410172255,-1.705827106543598,0.7322716246724706
91,2,0.09130335429149189,0.01671066649227417,9.339961262520072e-08,0.0,4.669980631260036e-08,10,1,1,1,0,-1.8202167761782289,-3.0764904237601636,-2.026875208802011,-2.6694680170217207,1.4104569949836596,0.48424600009355695
92,3,1.1900442036356926,0.01690896578016785,1.5032993246482815e-06,0.0,7.516496623241407e-07,27,1,1,1,0,5.395908458887228,1.8710221779897822,-0.3013326130528281,-0.7110949162832155,3.382094397431374,1.3834007831894681
93,7,4.353369556979712,0.32508228350343427,5.1143335769573544e-05,0.0,2.5571667884786772e-05,22,1,1,1,0,0.9394170116200775,-6.153390234135494,-0.1841350187106695,-1.9985896398597012,2.8449829834351696,-3.1262315702450114
94,11,0.08300658414203077,0.0012817492416646531,7.3905432182642155e-09,0.0,3.6952716091321078e-09,11,1,1,1,0,-1.788312166859583,-5.628631658149696,-1.8023046863187948,-6.0649234975043225,-4.150839478741195,-5.425995672102654
95,3,0.05253869351792476,0.08310996146136966,2.1068337678377136e-06,0.0,1.0534168839188568e-06,49,1,1,1,0,2.784543411662714,4.573675165916448,-1.1408937814866773,1.1846746793265248,-5.1170276417896075,-4.878258379847433
96,6,0.8503750350544582,0.006372135193591621,7.355064185282328e-07,0.0,3.677532092641164e-07,18,1,1,1,0,-4.364247656718162,-0.02762254227603636,-2.7681906046129114,-0.1378238852820381,1.775557735962009,4.528171122474744
97,5,0.235525548513256,0.02777400174767614,2.9045269126199595e-07,0.0,1.4522634563099798e-07,18,1,1,1,0,0.1269086450446042,-3.5033976630449652,-2.5499570011923796,-1.6337800946688046,-4.128305222575967,4.145835875976798
98,6,1.334908460220776,0.09159790076937632,4.337774186798954e-06,0.0,2.168887093399477e-06,37,1,1,1,0,-3.1964189426612752,-0.34028629134277977,0.8466843066124374,-1.001614766477666,5.011260271906055,5.369005552146489
99,15,0.05439446102266341,0.017943962567149325,1.0104123874316518e-07,0.0,5.052061937158259e-08,6,1,1,1,0,-1.4352755520088756,3.0622669672003657,2.1981144445304674,1.7332565017898747,-0.6684857334212297,-2.0135865690326904
