target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
48,3.369460514280743e-08,1.2287812309317777e-07,1,1,1
49,8.729825775483285e-08,6.322027276634106e-08,1,1,1
50,9.892404204165783e-08,1.8611544365878127e-07,1,1,1
51,1.4752947336942883e-07,1.1151007970493862e-07,1,1,1
52,1.1139032644236884e-07,1.3657139822709094e-07,1,1,1
53,1.4431838680914477e-07,1.1542389828584848e-07,1,1,1
54,3.7069246541106995e-07,1.8371385344770506e-07,1,1,1
55,3.2606825099889275e-08,6.664001874625058e-08,1,1,1
56,2.2220937055757256e-07,1.1348386266624797e-07,1,1,1
57,1.280342559076692e-07,1.1348386266624797e-07,1,1,1
58,1.3651399692375874e-07,5.575503985246929e-08,1,1,1
59,3.4364284235604883e-07,2.421152116249794e-07,1,1,1
60,1.1779754093866842e-07,6.322027276634106e-08,1,1,1
61,5.893280061755547e-08,5.16191365590357e-08,1,1,1
62,8.581187595012642e-08,7.884953353001449e-08,1,1,1
63,2.9813479833333494e-08,1.9314112360500902e-07,1,1,1
64,1.3748278381809255e-07,1.0950072449966577e-07,1,1,1
65,5.2826391918557324e-08,6.664001874625058e-08,1,1,1
66,8.627099226966778e-08,1.1151007970493862e-07,1,1,1
67,7.282845096032022e-08,2.1073424255447017e-08,1,1,1
68,3.0259566432300375e-07,1.0323827311807144e-07,1,1,1
69,3.1850396206665284e-08,1.6323404237781964e-07,1,1,1
70,3.98116691627259e-08,6.322027276634106e-08,1,1,1
71,2.476272727040285e-08,3.111453804049072e-07,1,1,1
72,1.0836385327640161e-07,1.0950072449966577e-07,1,1,1
73,9.376112086867751e-08,8.429369702178808e-08,1,1,1
74,2.4017936340698608e-08,1.9428737179048833e-07,1,1,1
75,5.2088345171188803e-08,6.664001874625058e-08,1,1,1
76,7.90978822261381e-08,4.712160915387242e-08,1,1,1
77,1.6504475112887887e-07,1.0106459234841571e-07,1,1,1
78,2.0357491245983754e-08,1.7377590819732272e-07,1,1,1
79,1.7106975066446516e-07,6.989264130329237e-08,1,1,1
80,1.3327528065056306e-07,1.5196262340524166e-07,1,1,1
81,1.3100906069002627e-07,1.2467205919833125e-07,1,1,1
82,4.828998753068923e-07,1.7120130796843874e-07,1,1,1
83,1.4043604273129065e-07,1.9428737179048833e-07,1,1,1
84,7.085498476314008e-08,1.6049041769309372e-07,1,1,1
85,2.4234283778734277e-08,1.7249341164216756e-07,1,1,1
86,9.121869688516863e-08,9.185692672385244e-08,1,1,1
87,3.9222953088668866e-08,8.429369702178808e-08,1,1,1
88,2.097200877858627e-08,1.9880628681371146e-07,1,1,1
89,1.0092434752293196e-07,7.300048299977716e-08,1,1,1
90,4.1260247594955766e-08,9.884312124119404e-08,1,1,1
91,3.6033737633205974e-08,4.712160915387242e-08,1,1,1
92,5.467638020308387e-08,1.2818463544611084e-07,1,1,1
93,4.4307387965906645e-08,2.0431442857983876e-07,1,1,1
94,3.4074175355813875e-08,1.444721179430584e-07,1,1,1
95,1.0041077478566545e-07,9.884312124119404e-08,1,1,1
96,1.4725741315987852e-07,1.429269171748377e-07,1,1,1
97,6.658963242111583e-08,1.6186804311275822e-07,1,1,1
98,7.926374372255387e-08,1.534168443230839e-07,1,1,1
99,8.61518285366785e-08,1.3657139822709094e-07,1,1,1
100,3.694549104937641e-08,1.6726511955740805e-07,1,1,1
101,3.056290598935416e-08,1.8730469182098736e-07,1,1,1
102,6.961306004605102e-08,5.575503985246929e-08,1,1,1
103,5.5105631720735956e-08,6.989264130329237e-08,1,1,1
104,3.637858379517862e-08,3.6500241499888574e-08,1,1,1
105,8.553480142939078e-08,1.2105760581248948e-07,1,1,1
106,1.9769045114019563e-08,7.884953353001449e-08,1,1,1
107,4.037976654095998e-07,8.940696716308596e-08,1,1,1
108,5.893605436919922e-08,7.884953353001449e-08,1,1,1
109,5.614121233323209e-08,1.8491854736195318e-07,1,1,1
110,4.7583491559641455e-08,2.0647654623614315e-07,1,1,1
111,7.580290336075202e-08,1.2990531157078375e-07,1,1,1
112,1.0578296541403207e-07,1.8005141576520485e-07,1,1,1
113,3.6972728976811084e-07,1.8611544365878127e-07,1,1,1
114,5.762083167686655e-08,2.053983323587514e-07,1,1,1
115,7.556944977063791e-08,1.8250120749944311e-07,1,1,1
116,1.4996654014351786e-07,1.1733186057227575e-07,1,1,1
117,7.769479045458608e-08,1.0745380149674388e-07,1,1,1
118,2.836700756793238e-08,1.3160349229466696e-07,1,1,1
119,3.311238609245212e-08,7.300048299977716e-08,1,1,1
120,1.2977930540061343e-07,1.3160349229466696e-07,1,1,1
121,4.225287520681821e-07,1.1733186057227575e-07,1,1,1
122,2.5080876531014465e-08,1.6458870496134868e-07,1,1,1
123,2.4221229647705358e-08,2.1387189767371642e-07,1,1,1
124,1.0654937475523291e-07,1.0323827311807144e-07,1,1,1
125,3.1423925002598905e-07,1.9655981597711058e-07,1,1,1
126,7.5126948244666e-08,1.1920928955078133e-07,1,1,1
127,6.518425784958593e-08,1.460009659995544e-07,1,1,1
128,6.779374248718083e-08,1.591008641128439e-07,1,1,1
129,1.2964061053534253e-07,1.264405455326822e-07,1,1,1
130,3.177957406228306e-07,1.0745380149674388e-07,1,1,1
131,8.171474988995817e-08,1.5196262340524166e-07,1,1,1
