target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
187,1.0253129253097901e-07,2.053983323587514e-07,1,1,1
188,8.039330386767486e-08,4.2146848510894035e-08,1,1,1
189,7.678950348708473e-08,9.65705618025044e-08,1,1,1
190,1.2425630773218904e-07,2.0861625671386756e-07,1,1,1
191,5.5144821823473594e-08,1.1151007970493862e-07,1,1,1
192,4.5346255757379995e-08,1.0536712127723512e-07,1,1,1
193,5.108282959492885e-08,6.664001874625058e-08,1,1,1
194,7.813723238245084e-08,1.332800374925012e-07,1,1,1
195,6.089093598437434e-08,1.9768624248238833e-07,1,1,1
196,3.505390727480417e-07,1.576990670600291e-07,1,1,1
197,1.4380216592090666e-07,7.300048299977716e-08,1,1,1
198,4.2086919350465105e-08,7.598131170262078e-08,1,1,1
199,6.683172170694931e-08,5.16191365590357e-08,1,1,1
200,3.0204300376720994e-08,1.1151007970493862e-07,1,1,1
201,2.280339306178419e-07,1.8966081829902343e-07,1,1,1
202,3.714505466988698e-08,1.264405455326822e-07,1,1,1
203,2.5510021605597748e-08,1.332800374925012e-07,1,1,1
204,7.646982092514425e-08,4.2146848510894035e-08,1,1,1
205,4.856842605027084e-08,1.3493575361575816e-07,1,1,1
206,2.6363502920474274e-08,2.1387189767371642e-07,1,1,1
207,3.877018714772429e-08,2.1900144899933185e-07,1,1,1
208,2.1585245986635332e-08,5.960464477539064e-08,1,1,1
209,1.1601757069592465e-07,5.16191365590357e-08,1,1,1
210,5.402162683473243e-08,1.5485740967710726e-07,1,1,1
211,7.881645238376951e-08,2.511188320272082e-07,1,1,1
212,7.681249098186184e-08,8.940696716308596e-08,1,1,1
213,6.513502917779197e-08,1.490116119384767e-07,1,1,1
214,1.03366456565446e-07,9.185692672385244e-08,1,1,1
215,2.4013526475677765e-08,1.4751396978812924e-07,1,1,1
216,5.973152297497965e-08,1.1348386266624797e-07,1,1,1
217,7.151259116746682e-08,1.576990670600291e-07,1,1,1
218,4.051404925909779e-08,1.0536712127723512e-07,1,1,1
219,7.387312804747455e-08,1.1151007970493862e-07,1,1,1
220,5.6614379849011787e-08,1.2990531157078375e-07,1,1,1
221,7.56807482383564e-08,2.9802322387695312e-08,1,1,1
222,5.453562370725694e-08,8.161702118890975e-08,1,1,1
223,4.389071526460427e-08,1.1920928955078133e-07,1,1,1
224,6.038193136356558e-08,2.3276357876976346e-07,1,1,1
225,1.291085992776265e-07,1.444721179430584e-07,1,1,1
226,8.90855407788108e-08,1.332800374925012e-07,1,1,1
227,9.15875006610581e-08,8.688795409866128e-08,1,1,1
228,4.527478403019745e-08,1.6049041769309372e-07,1,1,1
229,7.918753717386428e-08,9.65705618025044e-08,1,1,1
230,6.350573751752683e-08,7.300048299977716e-08,1,1,1
231,4.1927164060164626e-08,1.7504900879369298e-07,1,1,1
232,1.9256161638859167e-08,1.4751396978812924e-07,1,1,1
233,3.740196626484904e-08,1.0106459234841571e-07,1,1,1
234,1.0530331388762087e-07,1.0323827311807144e-07,1,1,1
235,5.0481032883481044e-08,1.0323827311807144e-07,1,1,1
236,3.775601607452243e-08,4.2146848510894035e-08,1,1,1
237,5.1408255360722035e-08,1.6323404237781964e-07,1,1,1
238,5.477017922858151e-08,1.429269171748377e-07,1,1,1
239,6.317153769250938e-08,1.0950072449966577e-07,1,1,1
240,5.295969841750845e-08,5.16191365590357e-08,1,1,1
241,4.564775234768697e-08,1.1920928955078133e-07,1,1,1
242,1.1764601638590847e-07,2.1696418193818725e-07,1,1,1
243,2.918147073959335e-08,2.7717762049642705e-07,1,1,1
244,7.653503495905844e-08,1.0323827311807144e-07,1,1,1
245,4.9168613639301804e-08,2.2891598188485577e-07,1,1,1
246,1.6405407261839785e-08,1.1542389828584848e-07,1,1,1
247,5.111601588513073e-08,1.0106459234841571e-07,1,1,1
248,8.565246553089721e-08,2.2794393510786276e-07,1,1,1
249,1.2752601396329515e-07,1.3657139822709094e-07,1,1,1
250,1.0253714228717384e-07,2.546311540996299e-07,1,1,1
251,9.82428211876625e-08,1.0536712127723512e-07,1,1,1
252,2.2025016854145118e-07,1.3493575361575816e-07,1,1,1
253,3.249106388600113e-08,1.7631291696726156e-07,1,1,1
254,2.4467341079769463e-08,2.6488883546935366e-07,1,1,1
255,2.5044484590125612e-08,1.698993779866605e-07,1,1,1
256,9.200473641056627e-09,4.2146848510894035e-08,1,1,1
257,7.731418511426413e-08,1.576990670600291e-07,1,1,1
258,8.275480993883502e-08,6.664001874625058e-08,1,1,1
259,8.016984840300725e-08,1.0745380149674388e-07,1,1,1
