target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
252,1.6873347903833695e-07,1.3978528260658483e-07,1,1,1
253,4.069229577733632e-07,1.8611544365878127e-07,1,1,1
254,2.2213410274728515e-07,1.576990670600291e-07,1,1,1
255,5.38491405417588e-07,5.16191365590357e-08,1,1,1
256,2.4516508762346748e-08,0.0,1,1,1
257,5.2535162211475545e-08,1.2105760581248948e-07,1,1,1
258,1.6050839385521372e-07,2.0967792390987746e-07,1,1,1
259,1.2391107607594547e-07,1.490116119384767e-07,1,1,1
260,9.781258219944174e-08,1.6323404237781964e-07,1,1,1
261,6.401489464205964e-08,1.9880628681371146e-07,1,1,1
262,1.4201274960643174e-07,1.8250120749944311e-07,1,1,1
263,3.6939456991650056e-08,9.185692672385244e-08,1,1,1
264,5.718000692680772e-08,1.2287812309317777e-07,1,1,1
265,5.365440231076122e-08,1.0323827311807144e-07,1,1,1
266,7.476537969979187e-08,1.444721179430584e-07,1,1,1
267,1.383536894128844e-07,1.5196262340524166e-07,1,1,1
268,1.2896255048589645e-07,1.490116119384767e-07,1,1,1
269,2.2305996523237567e-07,1.534168443230839e-07,1,1,1
270,7.418454156020495e-08,2.49344118396663e-07,1,1,1
271,5.616289878218685e-07,1.0745380149674388e-07,1,1,1
272,1.7888984454323224e-08,1.5628469708117136e-07,1,1,1
273,1.0681506572868056e-07,9.884312124119404e-08,1,1,1
274,1.1230035423139388e-07,2.0647654623614315e-07,1,1,1
275,3.814569680430364e-08,1.659323085197815e-07,1,1,1
276,6.981630788389881e-08,7.884953353001449e-08,1,1,1
277,2.980825105011207e-08,9.424321830774487e-08,1,1,1
278,1.0122660494515716e-07,1.9768624248238833e-07,1,1,1
279,8.882462473698221e-08,1.444721179430584e-07,1,1,1
280,1.6037065120295368e-07,1.5485740967710726e-07,1,1,1
281,3.116889864122789e-07,1.8491854736195318e-07,1,1,1
282,6.160262955195581e-08,1.429269171748377e-07,1,1,1
283,1.9744587112552815e-08,2.1798519549262258e-07,1,1,1
284,6.826353985408883e-08,2.2891598188485577e-07,1,1,1
285,2.6415473364521666e-07,8.161702118890975e-08,1,1,1
286,2.172948365017279e-07,1.0950072449966577e-07,1,1,1
287,9.393705799591976e-08,1.8250120749944311e-07,1,1,1
288,1.833456756659348e-07,1.6049041769309372e-07,1,1,1
289,9.501436195104497e-08,1.0536712127723512e-07,1,1,1
290,9.235761845257816e-08,6.664001874625058e-08,1,1,1
291,4.856242731077086e-08,9.424321830774487e-08,1,1,1
292,3.514466291416362e-08,1.8005141576520485e-07,1,1,1
293,9.52679433121961e-08,1.264405455326822e-07,1,1,1
294,2.3324841767738416e-08,1.1542389828584848e-07,1,1,1
295,5.7876703040129024e-08,2.0861625671386756e-07,1,1,1
296,1.0497439235855074e-07,5.16191365590357e-08,1,1,1
297,1.8340777279987292e-07,9.884312124119404e-08,1,1,1
298,1.2982571011921893e-07,5.575503985246929e-08,1,1,1
299,6.053938637165923e-08,1.5628469708117136e-07,1,1,1
300,3.798009766149083e-07,1.0536712127723512e-07,1,1,1
301,3.358297025660521e-08,7.300048299977716e-08,1,1,1
302,5.0788136978370145e-08,2.2988391847225347e-07,1,1,1
303,9.59704444406456e-08,1.6858739404357632e-07,1,1,1
304,1.6547456579377884e-08,1.1733186057227575e-07,1,1,1
305,8.843563421543367e-08,1.2287812309317777e-07,1,1,1
306,7.425257035083709e-08,1.9542689693874154e-07,1,1,1
307,1.832329806826177e-07,1.0536712127723512e-07,1,1,1
308,2.3105085914804147e-08,2.2401357260902137e-07,1,1,1
309,6.704366942267843e-08,1.2818463544611084e-07,1,1,1
310,2.3474834378645512e-08,1.1733186057227575e-07,1,1,1
311,3.105544287431622e-07,5.960464477539064e-08,1,1,1
312,7.583397281223635e-08,1.7249341164216756e-07,1,1,1
313,6.73093437063867e-08,1.264405455326822e-07,1,1,1
