target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
715,1,0,0.22048302178,28.670776505854796,0.193179310541,0.8008061007176769,0,0,CUDA,cuda_success_curobo_fail
716,1,1,2.5050828822,5.7170492520456395e-05,0.775214949284,3.1945284701301985e-06,0,0,cuRobo,both_success
717,1,1,3.03033066925,9.446108394484668e-05,0.0299079836765,8.45192788808014e-06,0,0,cuRobo,both_success
718,1,0,0.21571645028,58.75703697973234,0.0438353546129,16.112101660516494,0,0,CUDA,cuda_success_curobo_fail
719,1,1,0.0173737050779,4.762612444292628e-05,0.042411548074,1.4489019236708836e-05,0,0,cuRobo,both_success
720,1,1,0.0688292378428,8.299899260440489e-05,0.0397831710815,7.540324677666867e-06,0,0,cuRobo,both_success
721,1,0,1.62615073749,161.3151239367138,0.0472382725098,21.452121425616884,0,0,CUDA,cuda_success_curobo_fail
722,1,1,1.01030336939,0.004128090735762274,0.318415843095,0.00026503312333210865,0,0,cuRobo,both_success
723,1,1,0.176667737557,0.00012192250857152451,0.0283792427596,2.462659727359999e-05,0,0,cuRobo,both_success
724,1,1,0.960743819401,5.4259512120378185e-05,0.0335987753179,3.1945284701301985e-06,0,0,cuRobo,both_success
725,1,1,0.201882644978,0.00048520847463259,0.0633123661405,1.2134403433412637e-05,0,0,cuRobo,both_success
726,1,1,0.095023133715,5.8377350712274435e-05,0.20739528019,6.3890569402603996e-06,0,0,cuRobo,both_success
727,1,1,0.0841746740449,0.0005148045382416725,0.110143896502,6.037091348628668e-06,0,0,cuRobo,both_success
728,1,1,4.45077056365,4.424336341067378,0.00421343079047,0.4533563894985074,0,0,cuRobo,both_success
729,1,1,0.177559681144,7.943984505685768e-05,0.00467233620685,0.0,0,0,cuRobo,both_success
730,1,1,0.263588019133,0.006346001580193619,0.32626461966,0.0007411394568563269,0,0,cuRobo,both_success
731,0,1,39.2101333121,0.02136163338305055,2.73352440592,0.0010327478382277883,0,0,cuRobo,curobo_success_cuda_fail
732,0,1,44.9645074285,4.0933666289507484e-05,0.0268021833167,5.915117333884395e-06,0,0,cuRobo,curobo_success_cuda_fail
733,1,0,1.23478058703,27.78737346508063,0.0166903246746,3.2779551500381543,0,0,CUDA,cuda_success_curobo_fail
734,1,1,0.0146197591695,9.728460663793394e-05,0.0294213282903,5.915117333884395e-06,0,0,cuRobo,both_success
